SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
AC080038.3,0.013176402465463808,0.0,0.0,0.0,0.0,0.013176402465463808,0.0,0.0,0.0,0.0
AF127577.4,0.01157616522293033,0.0,0.0,0.0,0.0,0.01157616522293033,0.0,0.0,0.0,0.0
RNY1P16,0.012457273439545237,0.0,0.0,0.0,0.0,0.012457273439545237,0.0,0.0,0.0,0.0
AC093323.2,0.00978793226584063,0.0,0.0,0.0,0.0,0.00978793226584063,0.0,0.0,0.0,0.0
AC080112.3,0.007678816880998591,0.0,0.0,0.0,0.0,0.007678816880998591,0.0,0.0,0.0,0.0
LINC02035,0.005470191788174866,0.0,0.0,0.0,0.0,0.005470191788174866,0.0,0.0,0.0,0.0
AC063965.2,0.003939260844985302,0.0,0.0,0.0,0.0,0.003939260844985302,0.0,0.0,0.0,0.0
AC013564.1,0.0047115287858260965,0.0,0.0,0.0,0.0,0.0047115287858260965,0.0,0.0,0.0,0.0
AC005387.1,0.0042931359543098,0.0,0.0,0.0,0.0,0.0042931359543098,0.0,0.0,0.0,0.0
ADARB2-AS1,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
DCC,0.2973952339009844,0.040016071805736415,0.06694729903107474,0.07136747323198325,0.016863442448199373,0.0007505683059319366,0.1593322805461537,0.3500000000000001,0.0,0.5000000000000001
PIEZO2,0.23304445437683066,0.0,0.04012510690771842,0.1814316064200766,0.014837093752528903,0.003261177082718062,0.032786885245901634,0.0,0.0,0.25
HPS6,0.24264373681333465,0.0,0.15872193516253866,0.10420213695861076,0.006229771225553171,0.0,0.0,0.0,0.0,0.0
EGR2,0.1948842774788026,0.016620789093173167,0.11836924945357533,0.06643481379661123,0.007453964944137998,0.000567239485335437,0.01045161974280366,0.0,0.0,0.0
OFD1,0.2458454151951545,0.02767481724356489,0.0,0.2070692883895131,0.02375767066824561,0.0001292709574128615,0.0,0.0,0.0,0.29999999999999993
CYBB,0.12506384344799645,0.02245557906620975,0.05840176590466729,0.026373626373626374,0.02651198971877557,0.0010062385790374454,0.03296703296703297,0.475,0.0,0.4666666666666667
RARB,0.2397476904331361,0.022775974928920167,0.016365638192823474,0.08773703102284011,0.02024363912066815,0.00011155230513315779,0.0,0.6625000000000001,0.0,0.0
FLVCR1,0.2016710482764113,0.0,0.08330696422898015,0.10981592959091988,0.015135165014699062,0.0026661408104044554,0.0,0.0,0.0,0.4666666666666667
KLKB1,0.20160421173241488,0.040269291693232005,0.007050727911646586,0.11570708790724545,0.022780763862004595,0.0017725697268649858,0.0,0.5499999999999999,1.0,0.6
OVOL2,0.17919488632544694,0.0,0.061048350793650785,0.10373105914050687,0.01523489468201384,0.002970801399547762,0.0,0.0,0.0,0.0
TGM6,0.2238054989534767,0.0,0.0843926080663529,0.1513481622516382,0.01803704956043805,0.0005151219512195123,0.0,0.2999999999999999,0.0,0.0
MFF,0.1445309341797911,0.0,0.0,0.12692671118540658,0.019174189028376133,7.829855946481141e-05,0.0,0.0,0.0,0.3500000000000001
NDUFAF4,0.5038848542904645,0.0,0.0,0.028149456810410863,0.0023814166230594802,0.0006584024768996037,0.0,1.0,0.0,0.0
SLC19A2,0.20002486670616712,0.0,0.08627409116978951,0.1215810544495778,0.011311861394393635,0.0021748994352373922,0.0,0.0,0.0,0.5666666666666667
SGK1,0.2657145892084691,0.04839644307605479,0.02678294415749797,0.03269694018946097,0.02760833377694312,0.0017315702774621429,0.1805555002496738,0.5125,0.0,0.35
SUZ12,0.4605366942476128,0.06960944030729238,0.053043552382787636,0.014537853577273259,0.014829694936099003,0.0001804115406711673,0.38581208248766063,0.6750000000000002,0.0,0.0
